name,Waste,Fresh fruits and vegetables,Frozen fish,Ready-to-eat,Fresh meat,Processed meat,Pasta,Canned fish
Waste,0,0,0,0,0,0,0,0
Fresh fruits and vegetables,0,0,0,1,0,0,0,0
Frozen fish,0,0,0,1,0,0,0,0
Ready-to-eat,1,0,0,0,0,0,0,0
Fresh meat,0,0,0,0.5,0,0.5,0,0
Processed meat,1,0,0,0,0,0,0,0
Pasta,0,0,0,0,0,0,1,0
Canned fish,0,0,0,1,0,0,0,0
